question_text,option_a,option_b,option_c,option_d,correct_answer,level
What is the full form of “AI”?,Artificially Intelligent,Artificial Intelligence,Artificially Intelligence,Advanced Intelligence,B,2
Which of the following is the branch of Artificial Intelligence?,Machine Learning,Cyber forensics,Full-Stack Developer,Network Design,A,1
What is Artificial Intelligence?,Artificial Intelligence is a field that aims to make humans more intelligent,Artificial Intelligence is a field that aims to improve the security,Artificial Intelligence is a field that aims to develop intelligent machines,Artificial Intelligence is a field that aims to mine the data,C,1
Which of the following is an application of Artificial Intelligence?,It helps to exploit vulnerabilities to secure the firm,Language understanding and problem-solving (Text analytics and NLP),Easy to create a website,It helps to deploy applications on the cloud,B,2
 In how many categories process of Artificial Intelligence is categorized?,categorized into 5 categories,processes are categorized based on the input provided,categorized into 3 categories,process is not categorized,C,3
Based on which of the following parameter Artificial Intelligence is categorized?,Based on functionally only,Based on capabilities only,Based on capabilities and functionally,It is not categorized,C,3
Which of the following is a component of Artificial Intelligence?,Learning,Training,Designing,Puzzling,A,1
What is the function of an Artificial Intelligence “Agent”?,Mapping of goal sequence to an action,Work without the direct interference of the people,Mapping of precept sequence to an action,Mapping of environment sequence to an action,C,2
Which of the following is not a type of Artificial Intelligence agent?,Learning AI agent, Goal-based AI agent,Simple reflex AI agent,Unity-based AI agent,D,3
Which of the following is not the commonly used programming language for Artificial Intelligence?, Perl,Java,PROLOG,LISP,A,1
